imdb_id,country
tt0102761,United States
tt0110948,United States
tt0069754,United States
tt0080646,United States
tt0085356,Italy
tt0085356,Spain
tt0085356,Mexico
tt0084887,New Zealand
tt0199845,Hong Kong
tt0092127,Philippines
tt0376098,USA
tt0086589,United States
tt1388371,Israel
tt0082083,United States
tt0082083,Hong Kong
tt0084104,Italy
tt0107222,USA
tt0095583,United States
tt0093146,United States
tt0098622,United States
tt0091499,United States
tt0093608,West Germany
tt0060666,United States
tt0094074,United Kingdom
tt0094074,United States
tt0080745,United Kingdom
tt0080745,United States
tt0080745,Netherlands
tt0094077,United States
tt0813129,Greece
tt0070948,Ireland
tt0070948,United States
tt0070948,United Kingdom
tt0099817,United States
tt0075814,Italy
tt0108277,Canada
tt0093268,Italy
tt0072666,United States
tt0088708,United States
tt0088708,Philippines
tt0085811,United Kingdom
tt0085811,United States
tt0083630,United States
tt0083630,West Germany
tt0138050,United States
tt0138050,Canada
tt0090564,United States
tt0088344,France
tt0088344,Mexico
tt0253526,Italy
tt0088044,United States
tt0094651,Netherlands
tt0488046,Ireland
tt0169620,United States
tt0074768,Italy
tt0071650,Canada
tt0084935,Italy
tt0096040,United States
tt0166145,Italy
tt0166145,Philippines
tt0093631,USA
tt0093631,Canada
tt0103923,United States
tt0103923,Yugoslavia
tt0102984,United States
tt0093790,United States
tt0098156,United States
tt0091339,United States
tt0100531,Denmark
tt0100531,Sweden
tt0082806,United States
tt0193524,United States
tt0081793,United States
tt0489210,United States
tt0089003,United States
tt0089003,Canada
tt0090837,United States
tt0098257,United States
tt0083291,Spain
tt0083291,Switzerland
tt0089243,United States
tt0089243,Japan
tt0082431,United States
tt0095560,United States
tt0093910,United States
tt0093910,Taiwan
tt0098141,Australia
tt0098141,United States
tt0080421,United States
tt0093621,United States
tt0106761,United States
tt0106761,France
tt0106761,Denmark
tt0102910,United States
tt0111552,Hong Kong
tt0111552,United Kingdom
tt0220843,Philippines
tt0200642,Philippines
tt0199865,Canada
tt0199865,Hong Kong
tt0199865,United Kingdom
tt0199865,United States
tt0130236,United States
tt0061595,United States
tt0089883,United States
tt0102655,United States
tt0092848,United States
tt0117433,United States
tt0117433,Canada
tt0096417,United States
tt0079946,United States
tt0079946,Italy
tt0101366,Italy
tt0101931,United States
tt0080771,United States
tt0087945,United States
tt0116671,USA
tt0116671,United Kingdom
tt0117550,United States
tt0099496,United States
tt0127045,United States
tt0082235,United States
tt0081383,Canada
tt0092744,United States
tt0092744,Japan
tt0090213,United States
tt0090849,United States
tt0083739,Canada
tt0085514,Italy
tt0085514,Spain
tt0085124,Italy
tt0089091,Italy
tt0085125,Italy
tt0085125,France
tt0091012,United States
tt0091012,Philippines
tt0091166,Italy
tt0092675,United States
tt0089695,United States
tt0089695,Hong Kong
tt0086434,Italy
tt0092549,United States
tt0096000,Italy
tt0096000,Philippines
tt0099611,United States
tt0199849,Hong Kong
tt0199849,Canada
tt0199849,United Kingdom
tt0091621,United States
tt0097228,United States
tt0076937,Italy
tt0076937,Canada
tt0311340,Indonesia
tt0099969,United States
