imdb_id,language
tt0102761,English
tt0110948,English
tt0069754,English
tt0080646,English
tt0085356,Italian
tt0085356,Spanish
tt0084887,English
tt0199845,Cantonese
tt0092127,English
tt0376098,English
tt0086589,English
tt1388371,English
tt1388371,Hebrew
tt0082083,English
tt0084104,Italian
tt0084104,English
tt0107222,English
tt0095583,English
tt0093146,English
tt0098622,English
tt0091499,English
tt0093608,German
tt0060666,English
tt0094074,English
tt0094074,Russian
tt0094074,French
tt0094074,Italian
tt0080745,English
tt0094077,English
tt0813129,Greek
tt0070948,English
tt0070948,Italian
tt0070948,Swedish
tt0070948,Latin
tt0070948,German
tt0070948,French
tt0070948,Irish Gaelic
tt0099817,English
tt0075814,Italian
tt0075814,English
tt0108277,English
tt0093268,English
tt0072666,English
tt0088708,English
tt0088708,Spanish
tt0088708,Japanese
tt0085811,English
tt0083630,English
tt0138050,English
tt0090564,English
tt0088344,French
tt0253526,Italian
tt0088044,English
tt0094651,Dutch
tt0094651,Spanish
tt0094651,Mandarin
tt0094651,English
tt0488046,English
tt0169620,English
tt0074768,Italian
tt0071650,English
tt0071650,German
tt0084935,Italian
tt0096040,English
tt0166145,English
tt0166145,Filipino
tt0166145,Tagalog
tt0166145,Vietnamese
tt0093631,English
tt0103923,English
tt0102984,English
tt0093790,English
tt0098156,English
tt0091339,English
tt0100531,English
tt0082806,English
tt0193524,English
tt0081793,English
tt0489210,English
tt0089003,English
tt0089003,Spanish
tt0090837,English
tt0090837,Italian
tt0098257,English
tt0083291,Spanish
tt0089243,English
tt0082431,English
tt0095560,English
tt0093910,English
tt0098141,English
tt0080421,English
tt0093621,English
tt0106761,English
tt0102910,English
tt0111552,English
tt0220843,English
tt0220843,Filipino
tt0220843,Tagalog
tt0200642,Tagalog
tt0199865,English
tt0130236,English
tt0061595,English
tt0089883,English
tt0102655,English
tt0102655,Korean
tt0092848,English
tt0117433,English
tt0096417,English
tt0079946,English
tt0079946,Italian
tt0101366,English
tt0101931,English
tt0080771,English
tt0087945,English
tt0116671,English
tt0117550,English
tt0099496,English
tt0127045,English
tt0082235,English
tt0081383,English
tt0092744,English
tt0090213,English
tt0090849,English
tt0090849,German
tt0083739,English
tt0085514,Spanish
tt0085514,Italian
tt0085124,English
tt0085124,Italian
tt0089091,Italian
tt0085125,Italian
tt0085125,English
tt0091012,English
tt0091166,Italian
tt0091166,Spanish
tt0091166,English
tt0092675,English
tt0089695,English
tt0086434,Italian
tt0086434,English
tt0092549,English
tt0096000,Tagalog
tt0096000,Filipino
tt0096000,Italian
tt0096000,English
tt0099611,English
tt0099611,Swedish
tt0199849,English
tt0091621,English
tt0097228,English
tt0076937,Italian
tt0311340,Indonesian
tt0099969,English
tt0099969,Italian
