imdb_id,writer
tt0102761,Jason Coleman
tt0102761,David A. Prior
tt0102761,Lawrence L. Simeone
tt0110948,David A. Prior
tt0069754,Abe Polsky
tt0080646,Joe Masefield
tt0080646,Joseph Ellison
tt0080646,Ellen Hammill
tt0085356,Giovanni Di Clemente
tt0085356,Gino Capone
tt0085356,José Antonio de la Loma
tt0084887,Michael Abrams
tt0084887,Irving Austin
tt0084887,John Beech
tt0199845,AAV Creative Unit
tt0199845,Godfrey Ho
tt0199845,Stephen So
tt0092127,Joe Mari Avellana
tt0376098,Lance Smith (story and screenplay)
tt0376098,Harvey Richelson (story and screenplay)
tt0086589,Penelope Spheeris
tt1388371,H.B. Wertheim
tt1388371,Amos Sefer
tt0082083,Jeffrey Bloom
tt0082083,Steven Nalevansky
tt0084104,Tito Carpi
tt0084104,Gianfranco Couyoumdjian
tt0107222,Charles T. Kanganis
tt0095583,Larry Cohen
tt0093146,Andy Sidaris
tt0098622,David Twohy
tt0091499,Stephen King
tt0093608,Jörg Buttgereit
tt0093608,Franz Rodenkirchen
tt0060666,Harold P. Warren
tt0094074,Jerry Siegel
tt0094074,Joe Shuster
tt0094074,Christopher Reeve
tt0080745,Lorenzo Semple Jr.
tt0080745,Michael Allin
tt0080745,Alex Raymond
tt0094077,Jon Ayre
tt0094077,Peter George
tt0813129,Giorgos Nousias
tt0070948,John Boorman
tt0099817,Jonathan Tydor
tt0099817,David Koepp
tt0075814,Gianfranco Baldanello
tt0075814,William Rose
tt0108277,J. Stephen Maunder
tt0108277,Richard M. Samuels
tt0108277,T.J. Scott
tt0093268,Claudio Fragasso
tt0093268,Deran Sarafian
tt0093268,Rossella Drudi
tt0072666,Ron Kivett
tt0072666,Lee O. Larew
tt0072666,Don Barton
tt0088708,Paul De Mielche
tt0088708,Avi Kleinberger
tt0088708,Gideon Amir
tt0085811,Stanford Sherman
tt0083630,Don Coscarelli
tt0083630,Paul Pepperman
tt0083630,Andre Norton
tt0138050,Samuel M. Sherman
tt0138050,Brett Piper
tt0090564,Sam Bernard
tt0090564,Michael Jacobs
tt0088344,Gérard Oury
tt0088344,Danièle Thompson
tt0253526,Fabrizio De Angelis
tt0088044,Norman Yonemoto
tt0088044,Danny Steinmann
tt0088044,John Strong
tt0094651,Dick Maas
tt0488046,James P. Bennett
tt0488046,Shay Casserley
tt0169620,Lee Frost
tt0169620,Wes Bishop
tt0169620,Ronald Goldman
tt0074768,Sergio Chiusi
tt0074768,Sergio Garrone
tt0074768,Vinicio Marinucci
tt0071650,Jonah Royston
tt0071650,John C.W. Saxton
tt0084935,Juan Zanotto
tt0084935,Ray Collins
tt0084935,Robert D. Bailey
tt0166145,Ignazio Dolce
tt0166145,Larry Jonathan
tt0093631,James J. Docherty
tt0103923,Joe Simon
tt0103923,Jack Kirby
tt0103923,Stephen Tolkin
tt0102984,Walter Doniger
tt0093790,Robert Short
tt0098156,Cullen Blaine
tt0098156,Budd Lewis
tt0091339,David A. Prior
tt0100531,Anders Nilsson
tt0100531,Mats Helge Olsson
tt0082806,Leonard Neubauer
tt0082806,Emmett Alston
tt0193524,Rod Warren
tt0193524,Bruce Vilanch
tt0193524,Pat Proft
tt0081793,Lewis Jackson
tt0489210,Robert Boris
tt0089003,Don Jakoby
tt0089003,Brian Garfield
tt0090837,Jim Wynorski
tt0090837,Steve Mitchell
tt0098257,Andy Sidaris
tt0083291,Hans R. Walthard
tt0083291,Paul Grau
tt0083291,Melvin Quiñones
tt0089243,Charles Robert Carner
tt0089243,Dan Tyler Moore
tt0082431,Marc Siegler
tt0082431,Bruce D. Clark
tt0082431,William Stout
tt0095560,Stewart Raffill
tt0095560,Steve Feke
tt0093910,David Marks
tt0093910,Dusty Nelson
tt0093910,George Tan
tt0098141,Boaz Yakin
tt0080421,John Sayles
tt0080421,Anne Dyer
tt0093621,John F. Goff
tt0093621,Don Edmonds
tt0106761,Paul Dini
tt0106761,Neal Shusterman
tt0106761,Michael Davis
tt0102910,Andrew Cross
tt0102910,Mark Freed
tt0102910,Dave Tedder
tt0111552,Robert Vassar
tt0111552,Steve Harper
tt0111552,Tai Yim
tt0220843,Willy Milan
tt0200642,Cora Caballes
tt0199865,AAV Creative Unit
tt0199865,Godfrey Ho
tt0199865,Stephen So
tt0130236,Amir Shervan
tt0061595,Jo Heims
tt0061595,Marc Brandel
tt0089883,Adam Friedman
tt0089883,Robert Jay Litz
tt0102655,David C. Wilson
tt0092848,David A. Prior
tt0117433,Sidney J. Furie
tt0117433,Greg Mellott
tt0096417,Ulli Lommel
tt0096417,Clifford B. Wellman
tt0079946,Luigi Cozzi
tt0079946,Nat Wachsberger
tt0079946,R.A. Dillon
tt0101366,Danny Bilson
tt0101366,Paul De Meo
tt0101931,Catherine Cyran
tt0101931,Damian Klaus
tt0080771,William Sachs
tt0087945,Michael Sonye
tt0087945,Miriam L. Preissel
tt0087945,Fred Olen Ray
tt0116671,Jeremy Paige (story)
tt0116671,Michael Cooney (story)
tt0116671,Michael Cooney
tt0117550,Jonathan Bond
tt0117550,Fred Mata
tt0117550,Dorrie Krum Raymond
tt0099496,Jeffrey Mandel
tt0099496,Mike Griffin
tt0099496,Bruce A. Taylor
tt0127045,Mark Patrick Carducci
tt0082235,J.D. Feigelson
tt0082235,Butler Handcock
tt0081383,William Gray
tt0081383,Robert Guza Jr.
tt0092744,David Lee Fein
tt0092744,R.L. O'Keefe
tt0090213,Jette Rinck
tt0090213,Greg Collins O'Neill
tt0090213,Murray Michaels
tt0090849,Richard W. Haines
tt0090849,Mark Rudnitsky
tt0090849,Lloyd Kaufman
tt0083739,Tom Holland
tt0083739,Mark L. Lester
tt0083739,John C.W. Saxton
tt0085514,Elisa Briganti
tt0085514,Dardano Sacchetti
tt0085514,José Truchado
tt0085124,Dardano Sacchetti
tt0085124,Elisa Briganti
tt0085124,Enzo G. Castellari
tt0089091,Joe D'Amato
tt0089091,Aldo Florio
tt0085125,Ernesto Gastaldi
tt0085125,Sergio Martino
tt0085125,Gabriel Rossini
tt0091012,Joe Mari Avellana
tt0091012,Frederick Bailey
tt0091166,Sergio Martino
tt0091166,Elisa Briganti
tt0091166,Saul Sasha
tt0092675,Sheldon Lettich
tt0092675,Christopher Cosby
tt0092675,Mel Friedman
tt0089695,See-Yuen Ng
tt0089695,Corey Yuen
tt0089695,Keith W. Strandberg
tt0086434,Fabrizio De Angelis
tt0086434,Dardano Sacchetti
tt0092549,Woo-sang Park
tt0092549,Y.K. Kim
tt0092549,Joseph Diamand
tt0096000,Claudio Fragasso
tt0096000,Rossella Drudi
tt0099611,Robert Martin
tt0099611,Frank Henenlotter
tt0199849,AAV Creative Unit
tt0199849,Godfrey Ho
tt0199849,Warren See
tt0091621,Steven Paul
tt0091621,Anthony Foutz
tt0097228,Stephen Sayadian
tt0097228,Jerry Stahl
tt0076937,Mario di Nardo
tt0076937,Gianfranco Parolini
tt0076937,Marcello Coscia
tt0311340,Deddy Armand
tt0099969,Joel Silberg
tt0099969,Sheldon Renan
